"","location","date","cum","inc"
"1","US",2020-01-22,0,0
"2","US",2020-01-23,0,0
"3","US",2020-01-24,0,0
"4","US",2020-01-25,0,0
"5","US",2020-01-26,0,0
"6","US",2020-01-27,0,0
"7","US",2020-01-28,0,0
"8","US",2020-01-29,0,0
"9","US",2020-01-30,0,0
"10","US",2020-01-31,0,0
"11","US",2020-02-01,0,0
"12","US",2020-02-02,0,0
"13","US",2020-02-03,0,0
"14","US",2020-02-04,0,0
"15","US",2020-02-05,0,0
"16","US",2020-02-06,0,0
"17","US",2020-02-07,0,0
"18","US",2020-02-08,0,0
"19","US",2020-02-09,0,0
"20","US",2020-02-10,0,0
"21","US",2020-02-11,0,0
"22","US",2020-02-12,0,0
"23","US",2020-02-13,0,0
"24","US",2020-02-14,0,0
"25","US",2020-02-15,0,0
"26","US",2020-02-16,0,0
"27","US",2020-02-17,0,0
"28","US",2020-02-18,0,0
"29","US",2020-02-19,0,0
"30","US",2020-02-20,0,0
"31","US",2020-02-21,0,0
"32","US",2020-02-22,0,0
"33","US",2020-02-23,0,0
"34","US",2020-02-24,0,0
"35","US",2020-02-25,0,0
"36","US",2020-02-26,0,0
"37","US",2020-02-27,0,0
"38","US",2020-02-28,0,0
"39","US",2020-02-29,1,1
"40","US",2020-03-01,1,0
"41","US",2020-03-02,6,5
"42","US",2020-03-03,7,1
"43","US",2020-03-04,11,4
"44","US",2020-03-05,12,1
"45","US",2020-03-06,14,2
"46","US",2020-03-07,17,3
"47","US",2020-03-08,21,4
"48","US",2020-03-09,22,1
"49","US",2020-03-10,28,6
"50","US",2020-03-11,33,5
"51","US",2020-03-12,43,10
"52","US",2020-03-13,51,8
"53","US",2020-03-14,58,7
"54","US",2020-03-15,70,12
"55","US",2020-03-16,97,27
"56","US",2020-03-17,132,35
"57","US",2020-03-18,191,59
"58","US",2020-03-19,265,74
"59","US",2020-03-20,364,99
"60","US",2020-03-21,463,99
"61","US",2020-03-22,573,110
"62","US",2020-03-23,762,189
"63","US",2020-03-24,1001,239
"64","US",2020-03-25,1325,324
"65","US",2020-03-26,1733,408
"66","US",2020-03-27,2253,520
"67","US",2020-03-28,2886,633
"68","US",2020-03-29,3472,586
"69","US",2020-03-30,4164,692
"70","US",2020-03-31,5249,1085
"71","US",2020-04-01,6421,1172
"72","US",2020-04-02,7924,1503
"73","US",2020-04-03,9316,1392
"74","US",2020-04-04,10839,1523
"75","US",2020-04-05,12429,1590
"76","US",2020-04-06,14199,1770
"77","US",2020-04-07,16770,2571
"78","US",2020-04-08,18916,2146
"79","US",2020-04-09,21144,2228
"80","US",2020-04-10,23362,2218
"81","US",2020-04-11,25481,2119
"82","US",2020-04-12,27294,1813
"83","US",2020-04-13,29240,1946
"84","US",2020-04-14,31695,2455
"85","US",2020-04-15,34304,2609
"86","US",2020-04-16,36480,2176
"87","US",2020-04-17,38573,2093
"88","US",2020-04-18,40533,1960
"89","US",2020-04-19,42464,1931
"90","US",2020-04-20,44650,2186
"91","US",2020-04-21,47198,2548
"92","US",2020-04-22,49632,2434
"93","US",2020-04-23,52101,2469
"94","US",2020-04-24,54255,2154
"95","US",2020-04-25,55953,1698
"96","US",2020-04-26,57282,1329
"97","US",2020-04-27,58748,1466
"98","US",2020-04-28,60989,2241
"99","US",2020-04-29,63510,2521
"100","US",2020-04-30,65832,2322
"101","US",2020-05-01,67723,1891
"102","US",2020-05-02,69415,1692
"103","US",2020-05-03,70535,1120
"104","US",2020-05-04,71868,1333
"105","US",2020-05-05,74186,2318
"106","US",2020-05-06,76550,2364
"107","US",2020-05-07,78484,1934
"108","US",2020-05-08,80231,1747
"109","US",2020-05-09,81719,1488
"110","US",2020-05-10,82612,893
"111","US",2020-05-11,83626,1014
"112","US",2020-05-12,85253,1627
"113","US",2020-05-13,87017,1764
"114","US",2020-05-14,88800,1783
"115","US",2020-05-15,90481,1681
"116","US",2020-05-16,91697,1216
"117","US",2020-05-17,92455,758
"118","US",2020-05-18,93627,1172
"119","US",2020-05-19,95179,1552
"120","US",2020-05-20,96705,1526
"121","US",2020-05-21,97922,1217
"122","US",2020-05-22,99166,1244
"123","US",2020-05-23,100275,1109
"124","US",2020-05-24,100897,622
"125","US",2020-05-25,101445,548
"126","US",2020-05-26,102107,662
"127","US",2020-05-27,103625,1518
"128","US",2020-05-28,104803,1178
"129","US",2020-05-29,105963,1160
"130","US",2020-05-30,106926,963
"131","US",2020-05-31,107507,581
"132","US",2020-06-01,108283,776
"133","US",2020-06-02,109351,1068
"134","US",2020-06-03,110358,1007
"135","US",2020-06-04,111381,1023
"136","US",2020-06-05,112295,914
"137","US",2020-06-06,112954,659
"138","US",2020-06-07,113392,438
"139","US",2020-06-08,113911,519
"140","US",2020-06-09,114861,950
"141","US",2020-06-10,115762,901
"142","US",2020-06-11,116633,871
"143","US",2020-06-12,117461,828
"144","US",2020-06-13,118220,759
"145","US",2020-06-14,118528,308
"146","US",2020-06-15,118922,394
"147","US",2020-06-16,119760,838
"148","US",2020-06-17,120504,744
"149","US",2020-06-18,121222,718
"150","US",2020-06-19,121892,670
"151","US",2020-06-20,122496,604
"152","US",2020-06-21,122781,285
"153","US",2020-06-22,123170,389
"154","US",2020-06-23,124017,847
"155","US",2020-06-24,124776,759
"156","US",2020-06-25,125327,551
"157","US",2020-06-26,125944,617
"158","US",2020-06-27,126448,504
"159","US",2020-06-28,126721,273
