"","location","date","cum","inc"
"160","US",2020-06-29,127098,377
"161","US",2020-06-30,127723,625
"162","US",2020-07-01,128417,694
"163","US",2020-07-02,129144,727
"164","US",2020-07-03,129804,660
"165","US",2020-07-04,130069,265
"166","US",2020-07-05,130357,288
"167","US",2020-07-06,130712,355
"168","US",2020-07-07,131934,1222
"169","US",2020-07-08,132797,863
"170","US",2020-07-09,133800,1003
"171","US",2020-07-10,134624,824
"172","US",2020-07-11,135314,690
"173","US",2020-07-12,135773,459
"174","US",2020-07-13,136140,367
"175","US",2020-07-14,137066,926
"176","US",2020-07-15,138034,968
"177","US",2020-07-16,138977,943
"178","US",2020-07-17,139907,930
"179","US",2020-07-18,140775,868
"180","US",2020-07-19,141222,447
"181","US",2020-07-20,141736,514
"182","US",2020-07-21,142843,1107
"183","US",2020-07-22,144059,1216
"184","US",2020-07-23,145153,1094
"185","US",2020-07-24,146285,1132
"186","US",2020-07-25,147184,899
"187","US",2020-07-26,147656,472
"188","US",2020-07-27,148776,1120
"189","US",2020-07-28,150150,1374
"190","US",2020-07-29,151582,1432
"191","US",2020-07-30,152791,1209
"192","US",2020-07-31,154034,1243
"193","US",2020-08-01,155149,1115
"194","US",2020-08-02,155552,403
"195","US",2020-08-03,156082,530
"196","US",2020-08-04,157460,1378
"197","US",2020-08-05,158836,1376
"198","US",2020-08-06,160089,1253
"199","US",2020-08-07,161331,1242
"200","US",2020-08-08,162408,1077
"201","US",2020-08-09,162919,511
"202","US",2020-08-10,163446,527
"203","US",2020-08-11,164510,1064
"204","US",2020-08-12,166015,1505
"205","US",2020-08-13,167085,1070
"206","US",2020-08-14,168423,1338
"207","US",2020-08-15,169457,1034
"208","US",2020-08-16,170028,571
"209","US",2020-08-17,170474,446
"210","US",2020-08-18,171799,1325
"211","US",2020-08-19,173152,1353
"212","US",2020-08-20,174231,1079
"213","US",2020-08-21,175336,1105
"214","US",2020-08-22,176318,982
"215","US",2020-08-23,176768,450
"216","US",2020-08-24,177210,442
"217","US",2020-08-25,178449,1239
"218","US",2020-08-26,179674,1225
"219","US",2020-08-27,180785,1111
"220","US",2020-08-28,181756,971
"221","US",2020-08-29,182714,958
"222","US",2020-08-30,183024,310
"223","US",2020-08-31,183597,573
"224","US",2020-09-01,184664,1067
"225","US",2020-09-02,185720,1056
"226","US",2020-09-03,186790,1070
"227","US",2020-09-04,187755,965
"228","US",2020-09-05,188538,783
"229","US",2020-09-06,188941,403
